UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature Comment
2498.0,M17357,M,299.2,308.9,1521.0,42.3,215.0,0.0,0.0,0.0,0.0,0.0,,-
2499.0,L49678,L,299.1,308.9,1467.0,47.2,218.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2500.0,M17359,M,299.1,308.9,1325.0,,220.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2501.0,L49680,L,299.1,308.9,1617.0,32.3,223.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,M17361,M,299.1,308.9,1476.0,42.7,225.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2503.0,L49682,,299.2,309.0,1515.0,48.9,228.0,1.0,0.0,0.0,0.0,1.0,0.0,-
2504.0,L49683,L,299.2,309.0,1408.0,47.2,0.0,,0.0,0.0,0.0,0.0,0.0,-
2505.0,L49684,L,299.2,309.1,,45.6,2.0,0.0,0.0,,0.0,0.0,0.0,-
2506.0,L49685,L,299.2,,1387.0,48.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2507.0,M17366,M,299.2,309.1,1503.0,34.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2508.0,H31921,H,299.2,309.1,1410.0,47.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L49688,L,299.0,308.9,1615.0,30.6,14.0,0.0,0.0,0.0,,0.0,0.0,-
,L49689,L,25.85 °C,35.75 °C,1511.0,35.9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2511.0,L49690,L,299.1,309.0,1405.0,53.8,-18.0,0.0,0.0,,0.0,,0.0,-
2512.0,M17371,M,299.0,308.9,1526.0,41.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2513.0,L49692,L,298.9,308.8,1530.0,38.3,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2514.0,L49693,L,299.0,308.7,1583.0,32.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2515.0,L49694,L,298.9,308.6,2069.0,18.7,27.0,0.0,0.0,0.0,,0.0,0.0,-
2516.0,L49695,L,298.8,308.5,1490.0,35.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2517.0,L49696,L,298.8,308.5,1736.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2518.0,L49697,L,298.8,308.5,1395.0,44.4,33.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2519.0,M17378,M,298.9,308.6,1425.0,49.6,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2520.0,L49699,L,,308.6,1631.0,32.4,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2521.0,L49700,L,298.8,308.6,1535.0,41.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2522.0,L49701,"""L""",25.65 °C,35.45 °C,1584.0,34.4,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2523.0,M17382,M,298.8,308.7,1543.0,38.2,44.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2524.0,,L,298.8,308.7,1635.0,35.2,47.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2525.0,M17384,M,298.8,308.7,1446.0,45.5,49.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2526.0,M17385, M,298.8,308.6,1598.0,35.1,52.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2527.0,L49706,L,298.8,308.6,1501.0,35.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2528.0,L49707,L,298.8,308.5,1450.0,50.8,57.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2529.0,L49708,L,298.8,308.6,1730.0,25.9,59.0,0.0,0.0,0.0,0.0,,0.0,-
2530.0,M17389,M,298.8,308.6,1571.0,33.7,61.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2531.0,L49710,L,298.9,308.7,1438.0,51.7,64.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2532.0,M17391,M,298.8,308.5,1510.0,38.7,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2533.0,L49712,L,298.9,308.7,1389.0,44.9,69.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2534.0,L49713,L,298.8,,1490.0,33.6,71.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L49714,L,298.9,308.7,1729.0,26.6,73.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L49715,L,299.0,308.8,1495.0,38.4,75.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2537.0,l49716,L,298.9,308.8,1281.0,53.9,77.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2538.0,H31951,H,298.9,308.7,1353.0,48.1,79.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2539.0,L49718,L,299.1,308.8,1429.0,50.1,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2540.0,L49719,L,299.1,,1413.0,42.1,86.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2541.0,L49720,L,299.1,308.8,1502.0,38.3,88.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2542.0,H31955,H,299.1,308.8,1553.0,32.6,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2543.0,,H,299.2,308.9,1712.0,26.4,95.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2544.0,L49723,,299.3,309.0,1786.0,23.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2545.0,L49724,L,299.2,309.0,1951.0,21.4,102.0,0.0,0.0,0.0,0.0,0.0,,-
2546.0,M17405,m,299.2,309.0,1541.0,36.3,104.0,0.0,0.0,0.0,,0.0,0.0,-
2547.0,L49726,L,299.2,309.1,1605.0,,107.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2548.0,"""L49727""",L,299.2,309.1,1578.0,38.1,109.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2549.0,M17408,M,299.3,309.2,1440.0,37.5,111.0,0.0,0.0,0.0,0.0,,,-
2550.0,L49729,L,299.4,309.2,1489.0,42.3,114.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2551.0,L49730,L,299.4,309.3,1366.0,48.4,,0.0,0.0,0.0,0.0,0.0,,-
2552.0,L49731,L,299.3,309.2,1541.0,37.2,118.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2553.0,H31966,H,299.3,309.1,1552.0,40.7,-120.0,0.0,0.0,,0.0,,,-
2554.0,L49733,L,299.3,309.1,1473.0,40.3,125.0,0.0,0.0,0.0,0.0,,,-
2555.0,L49734,L,299.3,309.1,1531.0,37.9,-127.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2556.0,L49735,L,299.3,309.2,1511.0,37.2,-129.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2557.0,,M,299.3,309.1,1449.0,47.9,,,0.0,0.0,0.0,0.0,0.0,-
,M17417,M,299.4,309.1,1440.0,50.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2559.0,M17418,M,299.2,309.0,1881.0,23.9,-137.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2560.0,L49739,L,299.3,309.0,,50.4,140.0,0.0,0.0,0.0,0.0,0.0,1.0,-
2561.0,M17420,M,,309.1,1326.0,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,-
2562.0,L49741,L,26.25 °C,36.05 °C,1607.0,31.7,-145.0,0.0,0.0,0.0,0.0,,0.0,-
2563.0,L49742,L,299.3,309.1,1551.0,39.1,147.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L49743,L,299.3,309.1,1496.0,37.2,149.0,0.0,0.0,,0.0,,0.0,-
2565.0,L49744,"""L""",299.3,309.1,1493.0,38.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2566.0,,L,299.4,309.1,,50.5,153.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2567.0,M17426,M,299.3,309.0,1420.0,41.6,155.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2568.0,L49747,L,299.4,309.1,1766.0,24.6,158.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2569.0,l49748,L,299.6,309.2,1450.0,43.1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2570.0,H31983,H,299.5,309.2,1872.0,22.6,162.0,0.0,0.0,,0.0,0.0,0.0,-
2571.0,,,299.6,309.2,1713.0,26.5,167.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2572.0,M17431,M,26.35 °C,36.05 °C,1497.0,40.9,169.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2573.0,M17432,M,299.4,309.1,1352.0,44.7,172.0,0.0,0.0,0.0,0.0,,0.0,-
2574.0,"""L49753""",L,299.5,309.2,1499.0,41.5,-175.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2575.0,L49754,L,299.5,,1972.0,19.3,177.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2576.0,L49755,L,,309.3,1422.0,49.2,179.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2577.0,L49756,L,299.5,309.3,1523.0,41.5,181.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2578.0,L49757,L,299.5,309.4,1563.0,41.5,183.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2579.0,L49758,L,299.4,309.3,1391.0,46.6,185.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2580.0,L49759,L,299.3,309.1,1795.0,24.7,187.0,0.0,0.0,,0.0,0.0,0.0,-
2581.0,L49760,L,299.3,309.1,1293.0,53.7,189.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2582.0,L49761,L,299.2,,1345.0,60.7,191.0,1.0,0.0,0.0,0.0,1.0,0.0,-
2583.0,L49762,L,299.2,309.0,1615.0,33.7,193.0,0.0,0.0,0.0,0.0,,0.0,-
2584.0,L49763,L,299.2,308.9,1342.0,50.8,195.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2585.0,L49764,L,299.1,308.8,1502.0,46.7,197.0,0.0,0.0,,0.0,0.0,0.0,-
2586.0,M17445,M,299.0,308.7,1620.0,35.4,199.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2587.0,,L,299.0,308.7,1537.0,42.8,202.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2588.0,L49767,L,299.0,308.7,2248.0,16.8,204.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2589.0,L49768,L,299.0,308.7,1706.0,28.6,206.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2590.0,L49769,L,25.85 °C,35.55 °C,2250.0,16.6,208.0,0.0,0.0,0.0,0.0,,0.0,-
2591.0,L49770,L,299.0,308.7,1396.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2592.0,L49771,L,298.9,308.6,1522.0,46.4,2.0,0.0,0.0,0.0,,0.0,0.0,-
2593.0,L49772,L,298.9,308.6,1539.0,45.4,,0.0,0.0,0.0,0.0,0.0,0.0,-
,,"""H""",298.9,308.5,3415.0,54.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2595.0,L49774,L,298.8,308.5,1446.0,37.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2596.0,M17455,M,298.8,308.6,1486.0,41.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2597.0,L49776,L,,308.7,1426.0,38.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2598.0,L49777,L,299.0,308.7,1449.0,38.9,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2599.0,L49778,L,299.1,308.8,1320.0,67.5,20.0,1.0,0.0,0.0,1.0,0.0,0.0,-
2600.0,,M,299.2,308.9,1447.0,39.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2601.0,L49780,L,299.3,309.0,1422.0,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2602.0,L49781,L,26.15 °C,35.95 °C,1399.0,52.1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2603.0,L49782,L,299.4,309.2,1427.0,,29.0,,0.0,,0.0,0.0,0.0,-
,M17463,M,299.3,309.2,1334.0,46.3,31.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2605.0,M17464,M,299.3,,1385.0,45.6,34.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2606.0,L49785,L,299.4,309.2,1552.0,37.4,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2607.0,H32020,H,299.4,309.3,1534.0,37.5,-39.0,,0.0,0.0,0.0,0.0,0.0,-
2608.0,,,299.4,309.3,1448.0,48.6,44.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2609.0,L49788,L,299.5,309.3,1409.0,44.7,46.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2610.0,,L,,,1621.0,34.5,48.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,H32024,H,,309.1,1547.0,40.9,,0.0,0.0,0.0,0.0,0.0,0.0,-
2612.0,L49791,L,299.4,309.1,1957.0,22.1,55.0,,0.0,0.0,0.0,0.0,0.0,-
2613.0,L49792,L,299.4,309.1,2421.0,14.2,57.0,0.0,0.0,0.0,0.0,,0.0,-
2614.0,M17473,M,299.3,309.1,1571.0,38.3,59.0,0.0,,0.0,0.0,0.0,0.0,-
2615.0,L49794,L,299.3,309.1,1634.0,36.8,62.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2616.0,L49795,L,299.3,,,38.7,64.0,,0.0,0.0,0.0,0.0,0.0,-
2617.0,L49796,L,299.4,309.1,1207.0,66.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2618.0,L49797,L,299.4,309.1,1670.0,35.9,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2619.0,M17478,M,299.4,309.1,1461.0,48.6,70.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L49799,L,299.4,309.2,1569.0,40.8,,0.0,0.0,0.0,0.0,0.0,0.0,-
2621.0,L49800,L,299.4,309.2,1556.0,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2622.0,M17481,M,299.5,309.3,1506.0,41.5,,0.0,0.0,0.0,0.0,0.0,0.0,-
2623.0,M17482,M,299.6,309.4,1642.0,30.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2624.0,M17483,M,299.6,309.4,1283.0,62.1,83.0,0.0,,0.0,0.0,0.0,0.0,-
,H32038,H,299.7,309.5,1375.0,,86.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2626.0,L49805,L,299.7,309.4,1399.0,39.9,91.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2627.0,L49806,L,299.7,309.4,1650.0,29.8,93.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2628.0,M17487,M,299.8,,1346.0,53.2,95.0,0.0,0.0,0.0,0.0,,0.0,-
2629.0,H32042,H,299.9,309.6,1410.0,51.2,98.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2630.0,L49809,L,,309.7,1586.0,37.8,103.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2631.0,L49810, L,300.0,309.8,1372.0,39.6,105.0,0.0,0.0,0.0,0.0,0.0,,-
2632.0,H32045,H,300.0,309.7,1529.0,42.4,107.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2633.0,M17492,M,300.0,309.7,1652.0,28.6,112.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2634.0,L49813,L,26.95 °C,36.65 °C,1532.0,39.8,115.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2635.0,L49814,L,300.0,309.7,1554.0,32.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2636.0,H32049,H,299.9,309.6,1462.0,,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2637.0,L49816,L,299.9,309.6,1254.0,61.3,124.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2638.0,L49817,L,299.9,309.6,1294.0,49.7,126.0,0.0,0.0,,0.0,0.0,0.0,-
2639.0,L49818,L,299.8,309.5,1739.0,27.5,128.0,0.0,0.0,,0.0,0.0,0.0,-
2640.0,M17499,M,299.8,309.4,1412.0,47.8,130.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2641.0,M17500,M,299.9,309.5,1372.0,56.2,133.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2642.0,H32055,H,299.8,309.5,1420.0,46.7,136.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2643.0,L49822,L,299.8,309.5,1542.0,,141.0,0.0,0.0,0.0,,0.0,0.0,-
2644.0,M17503,M,299.8,309.4,1401.0,48.1,143.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L49824,L,26.65 °C,36.25 °C,1510.0,42.5,146.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2646.0,H32059,H,299.9,309.5,1547.0,38.5,148.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2647.0,M17506,M,299.8,,1453.0,43.2,153.0,0.0,,0.0,0.0,0.0,0.0,-
2648.0,L49827,L,299.8,309.4,1408.0,45.6,156.0,0.0,0.0,,0.0,0.0,0.0,-
2649.0,L49828,L,299.8,309.4,1436.0,,158.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2650.0,M17509,M,299.9,309.5,1582.0,38.2,160.0,0.0,,0.0,0.0,0.0,0.0,-
2651.0,L49830,L,299.9,309.6,1280.0,59.3,163.0,0.0,0.0,,0.0,0.0,0.0,-
2652.0,L49831,L,299.9,309.5,2008.0,20.4,165.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2653.0,L49832,L,299.9,309.5,1772.0,23.5,167.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2654.0,L49833,L,299.9,309.5,1779.0,26.1,169.0,0.0,0.0,,0.0,0.0,,-
2655.0,L49834,"""L""",299.9,309.5,,35.5,,0.0,0.0,0.0,0.0,0.0,0.0,-
2656.0,M17515,M,299.8,309.4,1751.0,27.0,173.0,,0.0,0.0,0.0,0.0,0.0,-
2657.0,L49836,L,299.9,309.5,1349.0,51.3,176.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2658.0,,M,300.0,309.5,1425.0,40.8,178.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2659.0,L49838,L,300.0,309.4,1395.0,44.5,181.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2660.0,H32073,H,299.8,309.3,1595.0,32.1,183.0,0.0,0.0,0.0,,0.0,0.0,-
2661.0,L49840,L,299.8,309.3,1291.0,56.4,188.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2662.0,M17521,M,299.9,309.4,1509.0,42.8,190.0,0.0,0.0,0.0,0.0,,0.0,-
2663.0,M17522,M,299.9,309.4,1483.0,38.1,193.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2664.0,L49843,L,299.9,309.3,1620.0,31.1,196.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2665.0,M17524,M,299.9,309.4,1487.0,42.2,198.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2666.0,L49845,L,299.8,309.4,2256.0,15.9,201.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2667.0,H32080,H,,309.2,1691.0,27.7,,0.0,0.0,0.0,0.0,0.0,,-
2668.0,M17527,M,299.8,309.3,1663.0,35.2,208.0,0.0,0.0,,0.0,0.0,0.0,-
,M17528,M,299.8,309.3,1640.0,31.1,211.0,0.0,0.0,0.0,0.0,,0.0,-
2670.0,H32083,H,26.55 °C,36.15 °C,1494.0,37.8,214.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2671.0,L49850,L,299.8,,1467.0,46.2,219.0,,0.0,0.0,,0.0,0.0,-
2672.0,M17531,M,299.7,309.3,1399.0,41.9,221.0,1.0,1.0,0.0,0.0,0.0,0.0,-
2673.0,L49852,L,,309.3,1445.0,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2674.0,L49853,L,299.8,309.4,,40.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2675.0,L49854,L,299.7,309.3,1546.0,37.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2676.0,,L,26.55 °C,36.15 °C,1574.0,35.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2677.0,L49856,L,299.7,309.3,1592.0,34.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L49857,L,299.8,309.5,1495.0,39.6,10.0,,0.0,0.0,0.0,0.0,0.0,-
2679.0,L49858,L,26.65 °C,36.45 °C,1447.0,43.1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2680.0,L49859,L,299.8,309.5,1476.0,44.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2681.0,L49860,L,,309.5,1641.0,27.1,16.0,0.0,0.0,0.0,0.0,0.0,,-
2682.0,L49861,L,26.65 °C,36.35 °C,1545.0,32.2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2683.0,,,299.9,309.6,1364.0,44.4,20.0,0.0,0.0,0.0,,0.0,0.0,-
2684.0,L49863,L,299.8,309.5,1590.0,28.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2685.0,L49864,L,299.8,309.4,1460.0,37.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2686.0,L49865,L,,,1609.0,32.5,27.0,0.0,0.0,0.0,0.0,,0.0,-
2687.0,L49866,L,299.8,309.4,1633.0,27.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2688.0,L49867,L,299.9,309.4,3348.0,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2689.0,L49868,L,299.9,309.4,1322.0,53.9,33.0,0.0,,0.0,0.0,0.0,0.0,-
2690.0,L49869,L,300.0,309.5,1641.0,30.1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2691.0,L49870,L,300.0,309.5,1728.0,26.0,37.0,0.0,0.0,,0.0,0.0,0.0,-
2692.0,L49871,L,300.0,,1431.0,47.7,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2693.0,L49872,L,300.1,309.7,1641.0,30.4,41.0,0.0,0.0,,0.0,0.0,0.0,-
2694.0,M17553,M,300.1,309.6,,36.1,43.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2695.0,M17554,M,300.1,309.6,1625.0,38.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2696.0,L49875,L,300.0,309.5,1869.0,22.7,49.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2697.0,L49876,L,300.0,309.6,1452.0,46.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2698.0,L49877,L,300.0,309.6,1618.0,28.7,53.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2699.0,L49878,L,300.0,309.4,2010.0,20.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2700.0,L49879,l,299.9,,1363.0,60.9,57.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2701.0,L49880,L,299.9,309.3,1473.0,40.4,59.0,0.0,0.0,,0.0,0.0,0.0,-
2702.0,,L,299.9,309.2,1333.0,50.8,,0.0,0.0,0.0,0.0,0.0,0.0,-
2703.0,L49882,L,299.8,309.2,1760.0,25.9,63.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2704.0,,M,299.8,309.2,1372.0,58.2,65.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2705.0,M17564,M,299.7,309.2,1608.0,34.4,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2706.0,L49885,L,299.7,309.2,1326.0,64.8,71.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2707.0,M17566,M,299.6,309.1,1560.0,37.1,73.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2708.0,M17567,M,299.6,309.0,,36.1,76.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2709.0,L49888,,299.6,309.1,2266.0,15.3,79.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2710.0,l49889,L,26.45 °C,35.95 °C,,35.8,81.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2711.0,L49890,L,299.6,309.1,1574.0,39.2,83.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2712.0,L49891,L,26.45 °C,35.95 °C,1407.0,50.6,85.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2713.0,H32126,,299.7,309.2,1302.0,55.5,87.0,,0.0,0.0,0.0,0.0,0.0,-
2714.0,M17573,M,299.6,309.2,1651.0,30.8,92.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2715.0,M17574,M,299.6,309.1,1366.0,55.2,95.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2716.0,M17575,M,299.5,309.0,1701.0,28.6,,,0.0,0.0,0.0,0.0,0.0,-
2717.0,L49896,L,299.5,309.0,1498.0,44.6,101.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2718.0,M17577,M,26.35 °C,35.95 °C,1422.0,45.3,103.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2719.0,,L,299.5,309.1,1357.0,47.3,106.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2720.0,L49899,L,299.5,309.2,1690.0,29.2,108.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2721.0,L49900,L,299.6,309.2,1559.0,39.1,110.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2722.0,M17581,M,299.6,309.3,1553.0,32.4,112.0,0.0,0.0,0.0,,0.0,0.0,-
2723.0,L49902,L,299.6,309.3,1558.0,34.8,115.0,0.0,0.0,,0.0,0.0,0.0,-
2724.0,L49903,,299.7,309.4,1362.0,51.9,117.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2725.0,M17584,M,,309.3,1470.0,42.7,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2726.0,L49905,L,299.8,309.4,1555.0,34.8,122.0,0.0,0.0,0.0,0.0,0.0,,-
2727.0,M17586,M,299.8,309.4,1423.0,42.9,124.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2728.0,L49907,L,26.55 °C,36.15 °C,1434.0,38.5,127.0,0.0,0.0,0.0,,0.0,0.0,-
2729.0,L49908,"""L""",,309.3,1779.0,25.5,129.0,0.0,0.0,0.0,,0.0,0.0,-
2730.0,L49909,,299.7,309.3,1417.0,54.6,131.0,0.0,0.0,0.0,0.0,,0.0,-
2731.0,L49910,L,299.6,309.2,,45.9,133.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2732.0,M17591,M,,309.2,1597.0,32.9,135.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2733.0,L49912,L,299.7,309.2,1346.0,57.4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2734.0,L49913,L,299.7,309.2,1422.0,40.4,140.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2735.0,H32148,H,299.7,309.2,1572.0,32.8,142.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2736.0,L49915,L,299.7,309.2,1412.0,,147.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2737.0,M17596,M,299.7,309.1,1576.0,36.4,149.0,,0.0,0.0,0.0,0.0,0.0,-
2738.0,M17597,M,299.7,309.1,1508.0,41.2,152.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2739.0,M17598,,299.8,309.1,1496.0,44.4,155.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2740.0,L49919,L,299.8,309.2,1572.0,35.4,158.0,0.0,0.0,0.0,0.0,0.0,0.0,-
,L49920,L,299.6,309.0,1525.0,42.8,160.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2742.0,L49921,L,299.6,,1378.0,51.9,,0.0,0.0,0.0,0.0,0.0,0.0,-
2743.0,L49922,L,299.6,309.1,1369.0,51.4,-164.0,0.0,0.0,0.0,0.0,0.0,0.0,-
